在り来り,ありきたり
味付け,あじつけ
アルミホイル,あるみほいる
愛着,あいちゃく
アナログ,あなろぐ
空き巣,あきす
姉,あね
赤,あか
合わさる,あわさる
網,あみ
暗記,あんき
阿呆,あほう
雨戸,あまど
編む,あむ
アイススケート,あいすすけーと
揚げ,あげ
アルバイト,あるばいと
アーチスト,あーちすと
小豆,あずき
欺く,あざむく
安定,あんてい
後々,あとあと
あり,あり
アピール,あぴーる
アンバランス,あんばらんす
哀れみ,あわれみ
圧迫,あっぱく
アップルパイ,あっぷるぱい
あれ,あれ
赤ん坊,あかんぼう
アクティブ,あくてぃぶ
圧勝,あっしょう
朝寝坊,あさねぼう
扱う,あつかう
味わい,あじわい
歩く,あるく
悪化,あっか
味,あじ
荒々しい,あらあらしい
洗い場,あらいば
あおる,あおる
温まる,あたたまる
愛想,あいそ
アルファベット,あるふぁべっと
あやふや,あやふや
愛護,あいご
新た,あらた
上げる,あげる
アロエ,あろえ
網の目,あみのめ
アーモンド,あーもんど
行脚,あんぎゃ
案ずる,あんずる
開ける,あける
愛情,あいじょう
穴場,あなば
合わせる,あわせる
アルミニウム,あるみにうむ
アルバム,あるばむ
焦る,あせる
赤身,あかみ
悪影響,あくえいきょう
赤字,あかじ
朝夕,あさゆう
アベック,あべっく
嵐,あらし
アップリケ,あっぷりけ
足跡,あしあと
赤い,あかい
荒波,あらなみ
甘酢,あまず
荒れる,あれる
頭から,あたまから
愛好,あいこう
挨拶,あいさつ
扱い,あつかい
熱苦しい,あつくるしい
朝方,あさがた
新しい,あたらしい
朝顔,あさがお
泡立てる,あわだてる
青虫,あおむし
兄貴,あにき
アメリカ合衆国,あめりかがっしゅうこく
アクシデント,あくしでんと
暗示,あんじ
甘酒,あまざけ
赤信号,あかしんごう
アーチ,あーち
争う,あらそう
淡い,あわい
あずさ,あずさ
汗,あせ
あて名,あてな
仰ぐ,あおぐ
アイスクリーム,あいすくりーむ
青色,あおいろ
圧縮,あっしゅく
青葉,あおば
あれこれ,あれこれ
アメリカ,あめりか
圧倒,あっとう
慌てふためく,あわてふためく
甘辛,あまから
慌てる,あわてる
哀れ,あわれ
焦り,あせり
安全性,あんぜんせい
温める,あたためる
アクセサリー,あくせさりー
アタック,あたっく
アンペア,あんぺあ
辺り,あたり
相乗り,あいのり
怪しむ,あやしむ
アップ,あっぷ
相手役,あいてやく
秋晴れ,あきばれ
安静,あんせい
歩む,あゆむ
厚手,あつで
